ZSJ|Egas|Ehc|Ebc|Eco|Ebr|Ewd|Eww|Efoil|ETOTAL
2009301|0.0850589467949194|47.5577385067448|150.004550023652|0|5.86168849519368|120.391651984562|188.789452752182|0|512.690140709129
2009302|0|0|0|0|0|0|0|0|0
2009480|0|0|0|0|0|0|0|0|0
2009990|0|0|0|0|0|0|0|0|0
2010060|0|0|0|0|0|0|0|0|0
2010140|0|0|0|0|0|0|0|0|0
2010310|0.299163978286652|304.160140032124|137.845513391745|0|27.696623025786|910.855001191239|1425.05922039238|34.2059707852958|2840.12163279686
2010490|0|0|0|0|0|0|0|0|0
2010570|0|0|0|0|0|0|0|0|0
2010650|2.41129555231288|783.950717358077|355.286820609163|0|71.386038575495|2347.66275264619|3672.9868614157|22.4758694964347|7256.16035565337
2010730|0|0|0|0|0|0|0|0|0
2010810|0.814119647023512|580.194845400162|262.94456703953|0|52.8321624025269|1737.48399952177|2718.3444023083|0|5352.61409631932
2010900|0.163082790977683|515.757050893472|233.741329348134|0|46.9644990628257|1544.51496884617|2416.43872461559|1.99785506634975|4759.57751062352
2011030|0.144962480869051|715.183110572281|324.121310029412|0|65.1241053671183|2141.7274234667|3350.79503146695|15.982840530798|6613.07878391413
2011110|0|0|0|0|0|0|0|0|0
2011200|0|0|0|0|0|0|0|0|0
2011380|0|0|0|0|0|0|0|0|0
2011460|0.133960864017382|17.5739439563702|7.96451937038085|0|1.6002718199185|52.6279174569808|82.3379120980127|1.91461110525184|164.153136670932
2011540|0|49.0287566898733|22.2198547651929|0|4.46452645412047|146.824262470562|229.710841722717|0|452.248242102466
2011620|0|0|0|0|0|0|0|0|0
2011710|0.418061440363425|736.068087447967|333.586391020299|0|67.0258776748475|2204.27074566195|3448.64588352546|1.88686311821921|6791.90190988911
2011890|0.473716678554222|0|0|0|0|0|0|0|0.473716678554222
2011970|0.245594917365201|235.051500416451|106.525446578844|0|21.40363559141|703.898395987118|1101.26957431092|1.91461110525184|2170.30875890736
2012010|0|0|0|0|0|0|0|0|0
2012190|0|0|0|0|0|0|0|0|0
2012270|0|0|0|0|0|0|0|0|0
2012350|0|0|0|0|0|0|0|0|0
2012430|0.472422370689319|811.107554667468|367.594311592741|0|73.8589223841734|2428.98813958605|3800.22280166861|4.05120610676477|7486.29535837649
2012510|1.85312528557379|568.956435587484|257.85131461608|0|51.8088001698616|1703.82882766975|2665.68990417316|1.91461110525184|5251.90301860717
2012600|0.0863950499822248|218.177967269936|98.8783537051086|0|19.8671427208361|653.367967994002|1022.21324566609|0|2012.59107240595
2012780|0|0|0|0|0|0|0|0|0
2012860|0.0453007752715786|153.772009618239|69.6895444908324|0|14.0023784242869|460.494277748582|720.456730857611|11.6541545537069|1430.11439646853
2012940|0|0|0|0|0|0|0|0|0
2013080|1.01214875035356|493.598599818049|223.699109272436|0|44.9467650290154|1478.15802944389|2312.62135718766|0|4554.03600950141
2013160|0.352051739253411|466.600946783625|211.46376067446|0|42.4883764360971|1397.30934465491|2186.13123135593|1.77587117008867|4306.12158281437
2013240|0.252390033655938|186.245601711532|84.4065911534927|0|16.9594024393537|557.741516527786|872.602872777852|0|1718.20837464367
2013320|0|0|0|0|0|0|0|0|0
